    50/299     9.49G   0.01133  0.008189         0   0.01952         8      1376    0.9836    0.9967    0.9953    0.8649   0.01625   0.01797         0
    51/299     9.49G   0.01212  0.007852         0   0.01997         3      1376    0.9803    0.9967    0.9946    0.8478   0.01655   0.01812         0
    52/299     9.49G   0.01127  0.007541         0   0.01881         5      1376      0.99      0.99    0.9949     0.866   0.01623   0.01752         0
    53/299     9.49G   0.01206  0.007591         0   0.01965         6      1376      0.99      0.99     0.995    0.8543   0.01644   0.01791         0
    54/299     9.49G   0.01169  0.007767         0   0.01946        11      1376    0.9899    0.9867    0.9953     0.867   0.01608   0.01739         0
    55/299     9.49G   0.01092   0.00746         0   0.01838        13      1376    0.9836    0.9967     0.995     0.856   0.01629   0.01718         0
    56/299     9.49G   0.01174  0.007539         0   0.01928         9      1376    0.9835    0.9967     0.995    0.8721   0.01583   0.01743         0
    57/299     9.49G   0.01162  0.006919         0   0.01854         4      1376    0.9803    0.9966    0.9948    0.8625   0.01605     0.017         0
    58/299     9.49G   0.01138  0.007022         0   0.01841        10      1376    0.9803    0.9967    0.9945     0.846   0.01572   0.01728         0
    59/299     9.49G    0.0115  0.006739         0   0.01823         2      1376      0.99      0.99    0.9947    0.8723   0.01601   0.01725         0
    60/299     9.49G   0.01086  0.006971         0   0.01783         2      1376      0.99      0.99     0.995    0.8793   0.01502   0.01692         0
    61/299     9.49G   0.01132  0.006933         0   0.01825         6      1376      0.99      0.99    0.9951    0.8702   0.01501   0.01729         0
    62/299     9.49G   0.01175  0.007431         0   0.01918        21      1376      0.99    0.9933    0.9941    0.8821   0.01509   0.01699         0
    63/299     9.49G   0.01062  0.007249         0   0.01787        10      1376    0.9835    0.9933     0.995     0.872   0.01477     0.017         0
    64/299     9.49G   0.01222  0.007103         0   0.01932         6      1376    0.9835    0.9933    0.9951    0.8719   0.01484   0.01693         0
    65/299     9.49G   0.01174  0.006879         0   0.01862        10      1376      0.99      0.99    0.9955    0.8712   0.01444   0.01665         0
    66/299     9.49G    0.0103  0.007141         0   0.01744        17      1376    0.9867    0.9933    0.9954    0.8762   0.01414    0.0166         0
    67/299     9.49G   0.01199  0.006832         0   0.01882         7      1376    0.9867    0.9933    0.9957    0.8742   0.01385   0.01679         0
    68/299     9.49G   0.01052  0.006844         0   0.01736        12      1376    0.9868    0.9933    0.9953    0.8684   0.01402   0.01658         0
    69/299     9.49G   0.01155  0.007131         0   0.01868         7      1376      0.99    0.9933    0.9953    0.8719   0.01405   0.01682         0
    70/299     9.49G   0.01071  0.007009         0   0.01772         4      1376    0.9868    0.9933    0.9953    0.8439   0.01495   0.01692         0
    71/299     9.49G   0.01056  0.006612         0   0.01717        12      1376    0.9867    0.9933    0.9956    0.8795   0.01424   0.01644         0
    72/299     9.49G   0.01116   0.00678         0   0.01794         4      1376      0.99    0.9933    0.9954    0.8734   0.01368   0.01647         0
    73/299     9.49G  0.009846  0.006866         0   0.01671        17      1376    0.9868    0.9933    0.9955    0.8795   0.01337   0.01639         0
    74/299     9.49G    0.0103  0.006898         0    0.0172        10      1376      0.99    0.9933    0.9954    0.8823   0.01347   0.01631         0
    75/299     9.49G   0.01021   0.00648         0   0.01669        14      1376    0.9966    0.9865    0.9956    0.8755   0.01344    0.0164         0
    76/299     9.49G   0.01016  0.006999         0   0.01716        10      1376      0.99    0.9933    0.9954    0.8805   0.01353    0.0162         0
    77/299     9.49G   0.01181  0.006904         0   0.01871        14      1376      0.99    0.9933    0.9955     0.886   0.01346   0.01623         0
    78/299     9.49G   0.01004  0.006701         0   0.01674         8      1376      0.99    0.9933    0.9948    0.8804    0.0135   0.01598         0
    79/299     9.49G   0.01005  0.006436         0   0.01649         3      1376    0.9966      0.99    0.9955     0.872   0.01302   0.01617         0
    80/299     9.49G   0.01062  0.006814         0   0.01743        10      1376    0.9868    0.9966    0.9954    0.8933   0.01256   0.01618         0
    81/299     9.49G   0.00916  0.006144         0    0.0153        11      1376    0.9868    0.9967    0.9953    0.8836   0.01233   0.01575         0
    82/299     9.49G   0.00979  0.006444         0   0.01623        20      1376      0.99    0.9933    0.9954    0.8797   0.01244   0.01597         0
    83/299     9.49G   0.01042  0.006618         0   0.01704         9      1376      0.99    0.9933    0.9951    0.8846   0.01235    0.0162         0
    84/299     9.49G   0.01025  0.006603         0   0.01685        11      1376    0.9868    0.9966    0.9952    0.8865   0.01226   0.01577         0
    85/299     9.49G  0.009621  0.006395         0   0.01602         6      1376      0.99    0.9933    0.9956    0.8875   0.01227   0.01576         0
    86/299     9.49G  0.009595  0.006642         0   0.01624        12      1376    0.9965      0.99    0.9957     0.886   0.01231    0.0157         0
    87/299     9.49G  0.009407  0.006417         0   0.01582         9      1376    0.9868    0.9967    0.9955    0.8764   0.01264   0.01563         0
    88/299     9.49G  0.009604  0.006308         0   0.01591         7      1376    0.9868    0.9967    0.9955    0.8902   0.01228   0.01569         0
    89/299     9.49G  0.009802  0.006762         0   0.01656        16      1376    0.9868    0.9967    0.9956    0.8933   0.01209   0.01536         0
    90/299     9.49G  0.009224  0.006646         0   0.01587         7      1376    0.9964      0.99    0.9956    0.8896   0.01212   0.01559         0
    91/299     9.49G  0.009363  0.006312         0   0.01568        10      1376    0.9868    0.9967    0.9957    0.8978   0.01172   0.01547         0
    92/299     9.49G  0.009931  0.006109         0   0.01604        16      1376    0.9868    0.9966    0.9956    0.8872   0.01177   0.01553         0
    93/299     9.49G   0.01021  0.006084         0    0.0163         4      1376    0.9998    0.9867    0.9958    0.8954   0.01177   0.01569         0
    94/299     9.49G  0.008997  0.006339         0   0.01534         9      1376         1    0.9865    0.9958    0.8945    0.0117   0.01537         0
    95/299     9.49G  0.009128   0.00628         0   0.01541        14      1376         1    0.9867    0.9958    0.8946   0.01192   0.01534         0
    96/299     9.49G   0.01029  0.005745         0   0.01604         3      1376         1    0.9898    0.9958     0.893   0.01164   0.01568         0
    97/299     9.49G  0.008833  0.006045         0   0.01488        10      1376    0.9901    0.9967    0.9956    0.8966   0.01171    0.0157         0
    98/299     9.49G   0.00905  0.006425         0   0.01547         8      1376    0.9901    0.9967    0.9957    0.9008   0.01154   0.01548         0
    99/299     9.49G  0.008997  0.006367         0   0.01536        10      1376    0.9901    0.9967    0.9956    0.9047   0.01147   0.01539         0
   100/299     9.49G  0.008177  0.005927         0    0.0141         7      1376    0.9901    0.9967    0.9955    0.9002   0.01129   0.01516         0
   101/299     9.49G  0.009489  0.005991         0   0.01548         4      1376    0.9966      0.99    0.9956    0.8957   0.01162   0.01548         0
   102/299     9.49G  0.008722  0.005961         0   0.01468        14      1376    0.9901    0.9967    0.9955    0.8864   0.01179   0.01543         0
   103/299     9.49G  0.008902  0.006314         0   0.01522         9      1376    0.9901    0.9967    0.9955     0.896   0.01164   0.01546         0
   104/299     9.49G   0.01018  0.005528         0   0.01571         5      1376    0.9901    0.9967    0.9955    0.9008   0.01162   0.01558         0
   105/299     9.49G  0.008679   0.00594         0   0.01462         8      1376    0.9901    0.9967    0.9958    0.8951   0.01153   0.01532         0
   106/299     9.49G  0.009282   0.00605         0   0.01533        11      1376    0.9901    0.9967    0.9961      0.89   0.01157   0.01532         0
   107/299     9.49G  0.008878  0.005814         0   0.01469        11      1376    0.9901    0.9967     0.996    0.8998    0.0113   0.01536         0
   108/299     9.49G  0.008034  0.005866         0    0.0139         9      1376    0.9966      0.99    0.9957     0.896   0.01092   0.01526         0
   109/299     9.49G  0.008522  0.005767         0   0.01429        17      1376    0.9966      0.99    0.9957    0.8924    0.0111    0.0153         0
   110/299     9.49G  0.009505   0.00608         0   0.01559        14      1376         1    0.9862    0.9961    0.8999     0.011   0.01522         0
   111/299     9.49G  0.007905  0.006027         0   0.01393        11      1376      0.99    0.9933    0.9959    0.8971   0.01107   0.01527         0
   112/299     9.49G  0.008692  0.005929         0   0.01462         4      1376    0.9868    0.9967    0.9961    0.8942   0.01117   0.01537         0
   113/299     9.49G   0.01056  0.005781         0   0.01634         9      1376    0.9901    0.9967    0.9961    0.9046   0.01075   0.01519         0
   114/299     9.49G  0.008307   0.00563         0   0.01394         4      1376    0.9901    0.9967     0.996    0.9012    0.0108   0.01511         0
   115/299     9.49G   0.00974  0.005747         0   0.01549        10      1376    0.9933    0.9933    0.9961    0.9016   0.01059   0.01538         0
   116/299     9.49G  0.008367  0.005478         0   0.01385         6      1376    0.9933    0.9933    0.9961    0.8946   0.01067   0.01553         0
   117/299     9.49G  0.008551  0.005902         0   0.01445        10      1376    0.9901    0.9967    0.9962    0.9061   0.01055   0.01549         0
   118/299     9.49G  0.008431  0.005591         0   0.01402         5      1376    0.9901    0.9967    0.9963    0.9035   0.01063   0.01536         0
   119/299     9.49G  0.009491  0.006068         0   0.01556        14      1376    0.9934    0.9967    0.9966    0.9048   0.01049   0.01556         0
   120/299     9.49G  0.009457  0.006239         0    0.0157         8      1376    0.9934    0.9967    0.9965    0.9044   0.01049   0.01542         0
   121/299     9.49G  0.008444  0.005572         0   0.01402        10      1376    0.9967    0.9933    0.9962    0.8987   0.01062   0.01531         0
   122/299     9.49G   0.00911  0.005697         0   0.01481         9      1376    0.9901    0.9967    0.9962     0.907   0.01059    0.0153         0
   123/299     9.49G  0.008089  0.005659         0   0.01375        13      1376    0.9934    0.9967    0.9963    0.9039   0.01055   0.01538         0
   124/299     9.49G  0.007923  0.005541         0   0.01346        11      1376    0.9901    0.9967    0.9962    0.8995   0.01042   0.01529         0
   125/299     9.49G  0.008391  0.006067         0   0.01446        18      1376    0.9934    0.9967    0.9965    0.9012   0.01041   0.01538         0
   126/299     9.49G  0.009447  0.005759         0   0.01521         8      1376    0.9933    0.9967    0.9966    0.9057   0.01051   0.01542         0
   127/299     9.49G  0.008099  0.005931         0   0.01403        20      1376    0.9934    0.9967    0.9963    0.8972   0.01039   0.01537         0
   128/299     9.49G  0.009466  0.005874         0   0.01534        11      1376    0.9934    0.9966    0.9961    0.9011   0.01031    0.0154         0
   129/299     9.49G  0.008068  0.005551         0   0.01362        10      1376    0.9934    0.9966    0.9966    0.8996   0.01033   0.01518         0
   130/299     9.49G  0.007687  0.005805         0   0.01349         8      1376    0.9934    0.9966    0.9968    0.9058   0.01014   0.01522         0
   131/299     9.49G  0.007789  0.005676         0   0.01347        11      1376    0.9934    0.9967    0.9962    0.9005   0.01035   0.01533         0
   132/299     9.49G  0.008665  0.005258         0   0.01392        10      1376      0.99    0.9967    0.9961    0.9079   0.01044   0.01551         0
   133/299     9.49G  0.008862  0.005729         0   0.01459        12      1376    0.9934    0.9967    0.9965    0.9034   0.01036   0.01567         0
   134/299     9.49G  0.007725  0.005401         0   0.01313         4      1376    0.9934    0.9967    0.9961    0.9071   0.01013   0.01558         0
   135/299     9.49G    0.0079  0.005728         0   0.01363        11      1376    0.9933    0.9967    0.9961    0.9033   0.01019   0.01543         0
